#lD,,Make,Model,Bodywork,Operator,Chassis ID,Lifespan Expiry Date,Road Tax Expiry Date ,Livery,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,Advertisement Override,Registration Date
21,A,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000079,29Oct2025,29Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,30Oct2008
22,Y,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000080,29Oct2025,29Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,30Oct2008
23,U,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000081,29Oct2025,29Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,30Oct2008
24,S,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000085,06Nov2025,06Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,07Nov2008
25,P,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000086,06Nov2025,06Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,07Nov2008
26,L,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000087,06Nov2025,06Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,07Nov2008
27,J,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000088,06Nov2025,06Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,07Nov2008
28,G,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000089,06Nov2025,06Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,07Nov2008
29,D,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000090,06Nov2025,06Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,07Nov2008
30,Z,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000091,06Nov2025,06Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,07Nov2008
31,X,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000092,06Nov2025,06Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,07Nov2008
32,T,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000093,06Nov2025,06Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,07Nov2008
33,R,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000094,06Nov2025,06Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,07Nov2008
34,M,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000095,27Nov2025,27Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,28Nov2008
35,K,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000096,27Nov2025,27Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,28Nov2008
36,H,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000097,27Nov2025,27Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,28Nov2008
37,E,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000098,27Nov2025,27Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,28Nov2008
38,C,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000099,27Nov2025,27Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,28Nov2008
39,A,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000108,27Nov2025,27Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,28Nov2008
40,U,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000109,27Nov2025,27Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,28Nov2008
41,S,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000110,27Nov2025,27Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,28Nov2008
42,P,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000114,27Nov2025,27Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,28Nov2008
43,L,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000115,27Nov2025,27Nov2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,28Nov2008
44,J,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000116,14Dec2025,14Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,15Dec2008
45,G,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000117,14Dec2025,14Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,15Dec2008
46,D,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000118,17Dec2025,09Aug2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,18Dec2008
47,B,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000119,17Dec2025,09Aug2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,18Dec2008
48,Z,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000120,17Dec2025,09Aug2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,18Dec2008
49,X,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000121,17Dec2025,09Aug2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,18Dec2008
50,R,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000122,17Dec2025,09Aug2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,18Dec2008
51,M,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000123,17Dec2025,09Aug2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,18Dec2008
52,K,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000124,17Dec2025,09Aug2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,18Dec2008
53,H,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000125,25Dec2025,25Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,26Dec2008
