#lD,,Make,Model,Bodywork,Operator,Chassis ID,Lifespan Expiry Date,Road Tax Expiry Date ,Livery,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,Advertisement Override,Registration Date
1357,A,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ5D7001804,21Apr2030,21Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,22Apr2013
1358,Y,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ9D7001806,21Apr2030,21Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,22Apr2013
1359,U,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ7D7001805,21Apr2030,21Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,22Apr2013
1360,P,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ0D7001807,21Apr2030,21Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,22Apr2013
1361,L,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ2D7001808,21Apr2030,21Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,22Apr2013
1362,J,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ4D7001809,16May2030,16May2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,17May2013
1363,G,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ4D7001812,16May2030,16May2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,17May2013
1364,D,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ6D7001813,16May2030,16May2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,17May2013
1365,B,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ8D7001814,16May2030,16May2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,17May2013
1366,Z,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZXD7001815,16May2030,16May2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,17May2013
1367,X,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ1D7001816,16May2030,16May2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,17May2013
1368,T,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ3D7001817,16May2030,16May2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,17May2013
1369,R,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ5D7001818,16May2030,16May2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,17May2013
1370,K,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ7D7001819,16May2030,16May2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,17May2013
1371,H,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ3D7001820,16May2030,16May2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,17May2013
1372,E,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ3D7001834,01Jul2030,01Jul2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Jul2013
1373,C,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ5D7001835,01Jul2030,01Jul2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Jul2013
1374,A,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ7D7001836,01Jul2030,01Jul2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Jul2013
1375,Y,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ9D7001837,01Jul2030,01Jul2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Jul2013
1376,U,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ0D7001838,01Jul2030,01Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Jul2013
1377,S,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ2D7001839,01Jul2030,01Jul2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Jul2013
1378,P,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ9D7001840,01Jul2030,01Jul2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Jul2013
1379,L,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ0D7001855,11Aug2030,11Aug2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,12Aug2013
1380,G,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ6D7001858,11Aug2030,11Aug2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,12Aug2013
1381,D,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ8D7001859,11Aug2030,11Aug2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,12Aug2013
1382,B,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ0D7001869,01Sep2030,01Sep2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Sep2013
1383,Z,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ0D7001872,01Sep2030,01Sep2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Sep2013
1384,X,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ2D7001873,01Sep2030,01Sep2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Sep2013
1385,T,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ4D7001874,01Sep2030,01Sep2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Sep2013
1386,R,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ9D7001899,15Oct2030,15Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,16Oct2013
1387,M,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ4D7001907,15Oct2030,15Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,16Oct2013
1388,K,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ6D7001908,15Oct2030,15Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,16Oct2013
1389,H,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ8D7001909,15Oct2030,15Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,16Oct2013
1390,C,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ4D7001910,15Oct2030,15Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,16Oct2013
1391,A,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ6D7001911,15Oct2030,15Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,16Oct2013
1392,Y,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ8D7001912,15Oct2030,15Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,16Oct2013
1393,U,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ1D7001914,15Oct2030,15Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,16Oct2013
1394,S,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ3D7001915,15Oct2030,15Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,16Oct2013
1395,P,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ5D7001916,15Oct2030,15Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,16Oct2013
1396,L,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ9D7001918,15Oct2030,15Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,16Oct2013
1397,J,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ0D7001919,15Oct2030,15Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,16Oct2013
1398,G,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ0D7001824,31Oct2030,31Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Nov2013
1399,D,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ4D7001938,31Oct2030,31Oct2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Nov2013
1400,H,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ6D7001942,01Dec2030,01Jun2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Dec2013
1401,E,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ8D7001943,01Dec2030,01Jun2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Dec2013
1402,C,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZXD7001944,01Dec2030,01Jun2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Dec2013
1403,A,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ1D7001945,01Dec2030,01Jun2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Dec2013
1404,Y,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ3D7001946,01Dec2030,01Jun2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Dec2013
1405,U,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ2D7001954,01Dec2030,01Jun2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Dec2013
1406,S,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ4D7001955,01Dec2030,01Jun2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Dec2013
1407,P,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ6D7001956,01Dec2030,01Jun2020,SMRT Buses (Stripe) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Dec2013
1408,L,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZXD7001989,05Jan2031,05Jul2020,SMRT Buses (Pixel) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,06Jan2014
1409,J,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZXD7001913,05Jan2031,05Jul2020,SMRT Buses (Pixel) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,06Jan2014
1410,D,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ8D7001991,05Jan2031,05Jul2020,SMRT Buses (Pixel) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,06Jan2014
1411,B,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ1D7001993,05Jan2031,05Jul2020,SMRT Buses (Pixel) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,06Jan2014
1412,Z,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ8D7001960,05Jan2031,05Jul2020,SMRT Buses (Pixel) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,06Jan2014
1413,X,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ6D7001973,05Jan2031,05Jul2020,SMRT Buses (Pixel) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,06Jan2014
1414,T,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZXD7001975,05Jan2031,05Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,06Jan2014
1415,R,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ3D7001994,05Jan2031,05Jul2020,SMRT Buses (Pixel) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,06Jan2014
1416,M,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ2D7001999,05Jan2031,05Jul2020,SMRT Buses (Pixel) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,06Jan2014
1417,K,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ7D7002002,05Jan2031,05Jul2020,SMRT Buses (Pixel) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,06Jan2014
1418,H,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ4D7002006,05Jan2031,05Jul2020,SMRT Buses (Pixel) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,06Jan2014
1419,E,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ6D7002007,05Jan2031,05Jul2020,SMRT Buses (Pixel) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,06Jan2014
1420,A,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ8D7002008,05Jan2031,05Jul2020,SMRT Buses (Pixel) Livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,06Jan2014
1421,Y,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ2E7002135,07Jul2031,07Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,08Jul2014
1422,U,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ4E7002136,07Jul2031,07Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,08Jul2014
1423,S,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ6E7002137,07Jul2031,07Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,08Jul2014
1424,P,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ8E7002138,07Jul2031,07Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,08Jul2014
1425,L,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZXE7002139,07Jul2031,07Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,08Jul2014
1426,J,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ6E7002140,09Jul2031,09Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,10Jul2014
1427,G,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZXE7002142,09Jul2031,09Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,10Jul2014
1428,D,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ1E7002143,09Jul2031,09Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,10Jul2014
1429,B,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ3E7002144,09Jul2031,09Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,10Jul2014
1430,X,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ5E7002145,09Jul2031,09Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,10Jul2014
1431,T,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ7E7002146,23Jul2031,23Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,24Jul2014
1432,R,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ9E7002147,23Jul2031,23Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,24Jul2014
1433,M,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ0E7002148,23Jul2031,23Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,24Jul2014
1434,K,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ0E7002151,23Jul2031,23Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,24Jul2014
1435,H,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ2E7002152,23Jul2031,23Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,24Jul2014
1436,E,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ4E7002153,23Jul2031,23Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,24Jul2014
1437,C,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ6E7002154,23Jul2031,23Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,24Jul2014
1438,A,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ8E7002155,23Jul2031,23Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,24Jul2014
1439,Y,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZXE7002156,23Jul2031,23Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,24Jul2014
1440,S,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ1E7002157,23Jul2031,23Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,24Jul2014
1441,P,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ3E7002158,23Jul2031,23Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,24Jul2014
1442,L,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ2E7002183,06Aug2031,06Aug2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,07Aug2014
1443,J,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ5E7002159,24Jul2031,24Jul2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,25Jul2014
1444,G,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ1E7002160,06Aug2031,06Aug2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,07Aug2014
1445,D,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ5E7002162,06Aug2031,06Aug2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,07Aug2014
1446,B,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ7E7002163,06Aug2031,06Aug2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,07Aug2014
1447,Z,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ0E7002165,06Aug2031,06Aug2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,07Aug2014
1448,X,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZ2E7002166,06Aug2031,06Aug2020,SMRT Buses (Pixel) Livery,,,,3,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,07Aug2014
