#ID,,Make,Model,Bodywork,Operator,Chassis ID,Lifespan Expiry Date,Road Tax Expiry Date ,Livery,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,Advertisement Override,Registration Date
1,Z,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P928FA172629,12Aug2032,12Feb2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,14Aug2015
2,X,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P928FA173196,15Sep2032,15Mar2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,17Sep2015
3,T,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P925FA173379,08Sep2032,08Mar2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,10Sep2015
4,R,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P921FA173380,20Sep2032,07Apr2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,22Sep2015
5,M,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P923FA173381,15Sep2032,15Mar2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,17Sep2015
6,K,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P921FA173556,27Sep2032,27Mar2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,29Sep2015
7,H,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P923FA173557,29Sep2032,29Mar2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,01Oct2015
8,E,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P925FA173558,29Sep2032,29Mar2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,01Oct2015
9,C,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P926GA174624,08Nov2032,08May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,10Nov2015
10,Y,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P92XGA175324,29Dec2032,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,31Dec2015
11,U,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P924FA171798,29Dec2032,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,31Dec2015
12,S,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P927GA175460,29Dec2032,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,31Dec2015
13,P,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P921GA175468,29Dec2032,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,31Dec2015
14,L,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P921GA175728,29Dec2032,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,31Dec2015
15,J,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P923GA175469,29Dec2032,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,31Dec2015
16,G,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P92XGA175470,29Dec2032,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,31Dec2015
17,D,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P923GA175729,29Dec2032,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,31Dec2015
18,B,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P920GA175820,29Dec2032,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,31Dec2015
19,Z,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P924GA175822,29Dec2032,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,31Dec2015
20,T,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P928GA175841,29Dec2032,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,31Dec2015
21,R,Volvo,B9TL,Wright Eclipse Gemini 2,SBS Transit,YV3S4P92XGA175842,29Dec2032,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,31Dec2015
22,M,Volvo,B9TL,Wright Eclipse Gemini 2,SBS Transit,YV3S4P921GA175843,29Dec2032,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,31Dec2015
23,K,Volvo,B9TL,Wright Eclipse Gemini 2,SBS Transit,YV3S4P923GA175844,29Dec2032,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,31Dec2015
24,H,Nissan,U31SCN,Fuji Heavy Industries R15/5E,Singapore Bus Services,U31S03141,,,,Scrapped,Unknown (R),,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Unknown,Fuji,,Unknown
25,E,Nissan,U31SCN,Fuji Heavy Industries R15/5E,Singapore Bus Services,U31S03142,,,,Scrapped,Unknown (R),,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Unknown,Fuji,,Unknown
26,C,Nissan,U31SCN,Fuji Heavy Industries R15/5E,Singapore Bus Services,U31S03143,,,,Scrapped,Unknown (R),,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Unknown,Fuji,,Unknown
27,A,Nissan,U31SCN,Fuji Heavy Industries R15/5E,Singapore Bus Services,U31S03144,,,,Scrapped,Unknown (R),,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Unknown,Fuji,,Unknown
28,Y,Nissan,U31SCN,Fuji Heavy Industries R15/5E,Singapore Bus Services,U31SC03144,,,,Scrapped,Unknown (R),,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Unknown,Fuji,,Unknown
29,U,Nissan,U31SCN,Fuji Heavy Industries R15/5E,Singapore Bus Services,U31S03146,,,,Scrapped,Unknown (R),,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Unknown,Fuji,,Unknown
30,P,Renault,PR100.2,JW Bolton,Singapore Bus Services,VS6PS08A200000225,,,,Demonstrator: Failed; Scrapped,Unknown (R),,Demo,Unknown,NA; Desto,Unknown,Unknown,NAC,,Unknown
31,L,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01815487,02Nov2008,,SBS Transit Livery,,BNDEP,SP,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,04Nov1991
32,J,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01815956,02Nov2008,,SBS Transit Livery,,BNDEP,39,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,04Nov1991
33,G,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01815955,02Nov2008,,SBS Transit Livery,,BNDEP,SP,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,04Nov1991
34,D,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01815954,02Nov2008,,SBS Transit Livery,,BNDEP,33,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,04Nov1991
35,B,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01815957,02Nov2008,,SBS Transit Livery,,BNDEP,SP,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,04Nov1991
36,Z,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01815958,07Dec2008,,SBS Transit Livery,,BNDEP,SP,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,09Dec1991
37,X,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816202,07Dec2008,,SBS Transit Livery,,BNDEP,33,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,09Dec1991
38,T,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816203,07Dec2008,,SBS Transit Livery,,BNDEP,29,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,09Dec1991
39,R,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816204,07Dec2008,,SBS Transit Livery,,BNDEP,32,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,09Dec1991
40,K,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816205,07Dec2008,,SBS Transit Livery,,BNDEP,SP,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,09Dec1991
41,H,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816206,07Dec2008,,SBS Transit Livery,,BRBP,155,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,09Dec1991
42,E,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816207,07Dec2008,,SBS Transit Livery,,BNDEP,66,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,09Dec1991
43,C,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816208,07Dec2008,,SBS Transit Livery,,BNDEP,SP,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,09Dec1991
44,A,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816209,07Dec2008,,SBS Transit Livery,,BNDEP,32,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,09Dec1991
45,Y,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816210,07Dec2008,,SBS Transit Livery,,BNDEP,33,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,09Dec1991
46,U,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816211,07Dec2008,,SBS Transit Livery,,BNDEP,9,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,09Dec1991
47,S,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816212,07Dec2008,,SBS Transit Livery,,BNDEP,SP,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,09Dec1991
48,P,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816384,07Dec2008,,SBS Transit Livery,,BNDEP,29,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,09Dec1991
49,L,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816385,07Dec2008,,SBS Transit Livery,,BNDEP,29,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,09Dec1991
50,G,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816213,05Jan2009,,SBS Transit Livery,Scrapped,BNDEP,29,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,07Jan1992
51,D,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816214,05Jan2009,,SBS Transit Livery,,BNDEP,29,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,07Jan1992
52,B,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816217,05Jan2009,,SBS Transit Livery,,BNDEP,229,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,07Jan1992
53,Z,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816218,05Jan2009,,SBS Transit Livery,,BNDEP,29,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,07Jan1992
54,X,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816388,05Jan2009,,SBS Transit Livery,,BNDEP,SP,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,07Jan1992
55,T,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816387,05Jan2009,,SBS Transit Livery,,BNDEP,29,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,07Jan1992
56,R,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816215,05Jan2009,,SBS Transit Livery,,BNDEP,229,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,07Jan1992
57,M,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816528,28Feb2009,,SBS Transit Livery,,BNDEP,29/292,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,01Mar1992
58,K,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816529,28Feb2009,,SBS Transit Livery,,BNDEP,229,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,01Mar1992
59,H,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816390,28Feb2009,,SBS Transit Livery,,BNDEP,5,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,01Mar1992
60,C,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816386,28Feb2009,,SBS Transit Livery,,BNDEP,228,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,01Mar1992
61,A,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816216,28Feb2009,,SBS Transit Livery,,BNDEP,SP,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,01Mar1992
62,Y,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816221,28Feb2009,,SBS Transit Livery,,BNDEP,SP,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,01Mar1992
63,U,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816531,28Feb2009,,SBS Transit Livery,,BNDEP,32,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,01Mar1992
64,S,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816533,28Feb2009,,SBS Transit Livery,,BNDEP,228,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,01Mar1992
65,P,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816537,28Feb2009,,SBS Transit Livery,,BNDEP,29,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,01Mar1992
66,L,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816220,28Feb2009,,SBS Transit Livery,,BNDEP,228,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,01Mar1992
67,J,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816393,28Feb2009,,SBS Transit Livery,,BNDEP,229,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,01Mar1992
68,G,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816219,01Apr2009,,SBS Transit Livery,Scrapped,BNDEP,403,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,02Apr1992
69,D,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816538,01Apr2009,,SBS Transit Livery,,BNDEP,403,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,02Apr1992
70,Z,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816530,01Apr2009,,SBS Transit Livery,,HGDEP,TRG,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,02Apr1992
71,X,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816540,01Apr2009,,SBS Transit Livery,Burnt,BNDEP,16/16E,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,02Apr1992
72,T,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816541,01Apr2009,,SBS Transit Livery,,BNDEP,SP,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,02Apr1992
73,R,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816532,01Apr2009,,SBS Transit Livery,,BNDEP,32,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,02Apr1992
74,M,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816539,01Apr2009,,SBS Transit Livery,,BNDEP,228,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,02Apr1992
75,K,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816389,01Apr2009,,SBS Transit Livery,,BNDEP,SP,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,02Apr1992
76,H,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816391,01Apr2009,,SBS Transit Livery,,HGDEP,TRG,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,02Apr1992
77,E,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816392,06May2009,,SBS Transit Livery,,BNDEP,229,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,07May1992
78,C,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816536,06May2009,,SBS Transit Livery,,BNDEP,58,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,07May1992
79,A,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816535,06May2009,,SBS Transit Livery,,BNDEP,SP,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Carrier Sütrak,,07May1992
80,U,Scania,N113CRB,Walter Alexander PS,SBS Transit,YS4NC4X2B01816534,06May2009,,SBS Transit Livery,,HGDEP,TRG,1,Voith DIWA 863,NA; Desto,Unknown,Overton,Fuji,,07May1992
81,S,MAN,16.240 HOCL,PSV International,Singapore Bus Services,WMA4750029W013708,,,SBS Transit Livery,Demonstrator: Failed; Scrapped,HGDEP,TRG,Demo,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Unknown,Carrier,,Unknown
82,P,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060172,,,SBS Transit Livery,Scrapped,AMDEP,SP,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
83,L,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060375,,,SBS Transit Livery,Scrapped,SLBP,79,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
84,J,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060309,,,SBS Transit Livery,Scrapped,AMDEP,SP,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
85,G,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060331,,,SBS Transit Livery,Scrapped,AMDEP,125,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
86,D,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060529,,,SBS Transit Livery,Scrapped,BRBP,155,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
87,B,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060556,,,SBS Transit Livery,Scrapped,SLBP,SP,1,Voith DIWA 851.2,NA; Desto,Unknown,Overton,Webasto,,Unknown
88,Z,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060352,,,SBS Transit Livery,Scrapped,SLBP,243G,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
89,X,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB3570052106052,,,SBS Transit Livery,Scrapped,SLBP,334,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
90,R,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060543,,,SBS Transit Livery,Scrapped,AMDEP,SP,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
91,M,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060266,,,SBS Transit Livery,Scrapped,BRBP,SP,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
92,K,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060287,,,SBS Transit Livery,Scrapped,SLBP,181,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
93,H,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060419,,,SBS Transit Livery,Scrapped,AMDEP,SP,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
94,E,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060462,,,SBS Transit Livery,Scrapped,BRBP,139,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
95,C,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060515,,,SBS Transit Livery,Scrapped,BRBP,94/31,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
96,A,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060440,,,SBS Transit Livery,Scrapped,SLBP,194/192,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
97,Y,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060484,,,SBS Transit Livery,Scrapped,AMDEP,186,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
98,U,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060682,,,SBS Transit Livery,Scrapped,SLBP,SP,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
99,S,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060555,,,SBS Transit Livery,Scrapped,AMDEP,SP,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
100,X,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060614,,,SBS Transit Livery,Scrapped,AMDEP,45,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
101,T,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060737,,,SBS Transit Livery,Scrapped,SLBP,185,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
102,R,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060815,,,SBS Transit Livery,Scrapped,BRBP,155,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
103,M,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060776,,,SBS Transit Livery,Scrapped,AMDEP,410,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
104,K,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060795,,,SBS Transit Livery,Scrapped,AMDEP,SP,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
105,H,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521061062,,,SBS Transit Livery,Scrapped,AMDEP,SP,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
106,E,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060756,,,SBS Transit Livery,Scrapped,BRBP,145,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
107,C,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060814,,,SBS Transit Livery,Scrapped,BRBP,145,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
108,A,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060796,,,SBS Transit Livery,Scrapped,BRBP,145,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
109,Y,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060990,,,SBS Transit Livery,Scrapped,BRBP,145,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
110,S,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060797,,,SBS Transit Livery,Scrapped,BRBP,145,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
111,P,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060816,,,SBS Transit Livery,Scrapped,BRBP,145,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
112,L,Mercedes Benz,O405,Walter Alexander PS,SBS Transit,WDB35700521060757,,,SBS Transit Livery,Scrapped,BRBP,145,1,Mercedes-Benz W3E 110/2.2 R,NA; Desto,Unknown,Overton,Webasto,,Unknown
