#ID,,Make,Model,Bodywork,Operator,Chassis ID,Lifespan Expiry Date,Road Tax Expiry Date ,Livery,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,Advertisement Override,Registration Date
9305,M,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF213SC025706,11Jan2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12Jan1997
9306,K,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF219SC025712,11Jan2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12Jan1997
9307,H,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF217SC025708,11Jan2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12Jan1997
9308,E,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF211SC025705,11Jan2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12Jan1997
9309,C,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF219SC025709,11Jan2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12Jan1997
9310,Y,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF215SC025707,25Jan2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,26Jan1997
9311,U,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF214SC025729,25Jan2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,26Jan1997
9312,S,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF21XSC025721,25Jan2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,26Jan1997
9313,P,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF211SC025719,25Jan2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,26Jan1997
9314,L,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF213SC025723,25Jan2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,26Jan1997
