#ID,,Make,Model,Bodywork,Operator,Chassis ID,Lifespan Expiry Date,Road Tax Expiry Date ,Livery,Notes,Depot,Svc,Batch,Gearbox,EDS model,Chair model,Door model,Air Con model,Registration Date,Advertisement Override
1000,G,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323130313,05Jun2033,5Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,6Jun2016,
1001,D,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,WEB62808323129398,30Nov2032,31May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1002,B,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,WEB62808323129399,30Nov2032,31May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1003,Z,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,WEB62808323129400,30Nov2032,31May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1004,X,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,WEB62808323129401,30Nov2032,31May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1005,T,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,WEB62808323129402,30Nov2032,31May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1006,R,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,WEB62808323129403,30Nov2032,31May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1007,M,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,WEB62808323129404,30Nov2032,31May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1008,K,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,WEB62808323129405,30Nov2032,31May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1009,H,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323129406,30Nov2032,27Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1010,C,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323129407,30Nov2032,27Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1011,A,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130326,19Apr2033,19Apr2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,20Apr2016,
1012,Y,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130327,19Apr2033,19Apr2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,20Apr2016,
1013,U,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130328,19Apr2033,19Apr2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,20Apr2016,
1014,S,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130329,19Apr2033,19Apr2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,20Apr2016,
1015,P,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130480,19Apr2033,19Apr2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,20Apr2016,
1016,L,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130481,19Apr2033,7Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,20Apr2016,
1017,J,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130482,07Jun2033,7Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,8Jun2016,
1018,G,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130483,07Jun2033,7Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,8Jun2016,
1019,D,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130484,07Jun2033,7Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,8Jun2016,
1020,Z,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323129419,21Feb2033,21Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1021,X,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130275,21Feb2033,21Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1022,T,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130276,21Feb2033,21Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1023,R,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323130277,21Feb2033,21Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1024,M,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323130278,21Feb2033,21Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1025,K,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323130279,21Feb2033,21Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1026,H,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323130280,21Feb2033,21Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1027,E,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130281,21Feb2033,21Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1028,C,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130282,21Feb2033,21Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1029,A,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130283,21Feb2033,21Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1030,U,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130284,21Feb2033,21Aug2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1031,S,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130285,21Feb2033,21Aug2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1032,P,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130286,21Feb2033,21Aug2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1033,L,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130287,21Feb2033,21Aug2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1034,J,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130288,21Feb2033,21Aug2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1035,G,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130289,21Feb2033,21Aug2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1036,D,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130290,21Feb2033,21Aug2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1037,B,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130291,21Feb2033,21Aug2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1038,Z,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130292,21Feb2033,21Aug2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1039,X,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130293,21Feb2033,21Aug2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1040,R,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130294,21Feb2033,21Aug2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,22Feb2016,
1041,M,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130295,17Mar2033,17Sep2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,18Mar2016,
1042,K,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130296,17Mar2033,17Sep2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,18Mar2016,
1043,H,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130297,17Mar2033,17Sep2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,18Mar2016,
1044,E,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130298,17Mar2033,17Sep2020,SBS Transit Livery,Worst Bus On Earth,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,18Mar2016,
1045,C,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130299,17Mar2033,17Sep2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,18Mar2016,
1046,A,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130300,17Mar2033,17Sep2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,18Mar2016,
1047,Y,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130301,17Mar2033,17Sep2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,18Mar2016,
1048,U,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130302,17Mar2033,17Sep2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,18Mar2016,
1049,S,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130303,17Mar2033,17Sep2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,18Mar2016,
1050,L,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130304,17Mar2033,17Sep2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,18Mar2016,
1051,J,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130305,17Mar2033,17Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,18Mar2016,
1052,G,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130306,17Mar2033,17Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,18Mar2016,
1053,D,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130307,10Mar2033,10Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,11Mar2016,
1054,B,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130308,10Mar2033,10Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,11Mar2016,
1055,Z,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130309,10Mar2033,10Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,11Mar2016,
1056,X,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130310,30Mar2033,30Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,31Mar2016,
1057,T,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130311,30Mar2033,30Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,31Mar2016,
1058,R,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130312,30Mar2033,30Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,31Mar2016,
1059,M,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130314,30Mar2033,30Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,31Mar2016,
1060,H,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130315,30Mar2033,30Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,31Mar2016,
1061,E,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130316,30Mar2033,30Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,31Mar2016,
1062,C,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130317,30Mar2033,30Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,31Mar2016,
1063,A,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130318,30Mar2033,30Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,31Mar2016,
1064,Y,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130319,30Mar2033,30Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,31Mar2016,
1065,U,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130320,30Mar2033,30Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,31Mar2016,
1066,S,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130321,18Apr2033,18Apr2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,19Apr2016,
1067,P,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130322,18Apr2033,18Apr2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,19Apr2016,
1068,L,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130323,18Apr2033,18Apr2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,19Apr2016,
1069,J,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130324,24Apr2033,24Apr2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,25Apr2016,
1070,D,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130325,24Apr2033,24Apr2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,25Apr2016,
1071,B,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130493,07Jun2033,7Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,8Jun2016,
1072,Z,,,,,,,,,,,,,,,,,,,
1073,X,,,,,,,,,,,,,,,,,,,
1074,T,,,,,,,,,,,,,,,,,,,
1075,R,,,,,,,,,,,,,,,,,,,
1076,M,,,,,,,,,,,,,,,,,,,
1077,K,,,,,,,,,,,,,,,,,,,
1078,H,,,,,,,,,,,,,,,,,,,
1079,E,,,,,,,,,,,,,,,,,,,
1080,A,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129389,01Jan2033,1Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,2Jan2016,
1081,Y,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129390,01Jan2033,1Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,2Jan2016,
1082,U,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129391,01Jan2033,1Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,2Jan2016,
1083,S,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129392,01Jan2033,1Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,2Jan2016,
1084,P,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129393,01Jan2033,1Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,2Jan2016,
1085,L,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129394,01Jan2033,1Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,2Jan2016,
1086,J,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129395,01Jan2033,1Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,2Jan2016,
1087,G,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129422,01Jan2033,1Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,2Jan2016,
1088,D,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129423,31Jan2033,31Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Feb2016,
1089,B,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129424,31Jan2033,31Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Feb2016,
1090,X,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129425,28Feb2033,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,29Feb2016,
1091,T,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129426,28Feb2033,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,29Feb2016,
1092,R,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129427,28Feb2033,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,29Feb2016,
1093,M,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129416,28Feb2033,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,29Feb2016,
1094,K,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129417,28Feb2033,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,29Feb2016,
1095,H,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129428,28Feb2033,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,29Feb2016,
1096,E,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129430,28Feb2033,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,29Feb2016,
1097,C,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129430,28Feb2033,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,29Feb2016,
1098,A,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323129432,28Feb2033,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,29Feb2016,
1099,Y,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323130001,31Mar2033,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Apr2016,
1100,B,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323130002,01Jun2033,1Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,2Jun2016,
1101,Z,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323130003,01Jun2033,1Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,2Jun2016,
1102,X,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323130004,01Jun2033,1Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,2Jun2016,
1103,T,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130485,01Jun2033,1Jun2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,2Jun2016,
1104,R,Mercedes Benz,Citaro,EvoBus,SMRT Buses,WEB62808323130486,01Jun2033,1Jun2020,SBS Transit Livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,2Jun2016,
1105,M,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323130487,30Aug2033,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,31Aug2016,
1106,K,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323130488,05Oct2034,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,6Oct2017,
1107,H,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323130489,05Oct2034,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,6Oct2017,
1108,E,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323130490,05Oct2034,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,6Oct2017,
1109,C,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323130491,05Oct2034,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,6Oct2017,
1110,Y,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323130492,05Oct2034,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,6Oct2017,
